epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
77,1031.5,0.12714,0.97005,1,0.08597,0.000412749,0.000412749,0.000412749
78,1045.56,0.11516,0.96615,1,0.09756,0.000396246,0.000396246,0.000396246
79,1058.78,0.1254,0.97135,1,0.09488,0.000379743,0.000379743,0.000379743
80,1072.73,0.12736,0.96484,1,0.10202,0.000363239,0.000363239,0.000363239
81,1085.93,0.12629,0.96745,1,0.08834,0.000346736,0.000346736,0.000346736
82,1099.06,0.12439,0.96484,1,0.10296,0.000330233,0.000330233,0.000330233
83,1113.1,0.13245,0.97266,1,0.09217,0.000313729,0.000313729,0.000313729
84,1126.13,0.13092,0.96615,1,0.09611,0.000297226,0.000297226,0.000297226
85,1138.93,0.11867,0.96615,1,0.10615,0.000280723,0.000280723,0.000280723
86,1152.4,0.11464,0.97135,1,0.10166,0.00026422,0.00026422,0.00026422
87,1168.18,0.12446,0.97005,1,0.10376,0.000247716,0.000247716,0.000247716
88,1182.71,0.11602,0.97526,1,0.09704,0.000231213,0.000231213,0.000231213
89,1196.28,0.11054,0.97266,1,0.097,0.00021471,0.00021471,0.00021471
90,1210.24,0.11434,0.97135,1,0.09712,0.000198206,0.000198206,0.000198206
91,1225.06,0.11254,0.96875,1,0.10303,0.000181703,0.000181703,0.000181703
92,1238.94,0.10614,0.96875,1,0.09978,0.0001652,0.0001652,0.0001652
93,1251.83,0.10881,0.97135,1,0.0914,0.000148696,0.000148696,0.000148696
94,1265.12,0.1126,0.97396,1,0.08987,0.000132193,0.000132193,0.000132193
95,1279.13,0.10927,0.97135,1,0.0943,0.00011569,0.00011569,0.00011569
96,1292.93,0.10928,0.97135,1,0.09433,9.91865e-05,9.91865e-05,9.91865e-05
97,1307.32,0.09341,0.97005,1,0.09367,8.26832e-05,8.26832e-05,8.26832e-05
98,1321.02,0.11767,0.97266,1,0.09053,6.61799e-05,6.61799e-05,6.61799e-05
99,1334.41,0.10066,0.97266,1,0.09131,4.96766e-05,4.96766e-05,4.96766e-05
100,1347.74,0.10578,0.97266,1,0.09466,3.31733e-05,3.31733e-05,3.31733e-05
